0
1
3
4
6
7
8
10
11
12
14
17
19
20
24
25
26
29
31
37
39
40
42
43
45
46
stop
(0,2)
(1,2)
(1,6)
(2,3)
(2,4)
(2,39)
(2,46)
(4,5)
(4,7)
(4,33)
(5,8)
(6,7)
(8,9)
(8,27)
(8,33)
(10,19)
(11,21)
(11,25)
(12,14)
(12,28)
(12,40)
(13,14)
(13,29)
(14,15)
(14,16)
(15,16)
(16,17)
(16,21)
(16,23)
(17,18)
(18,19)
(20,21)
(20,22)
(20,23)
(21,25)
(22,24)
(22,25)
(24,25)
(26,27)
(27,33)
(27,38)
(27,39)
(28,29)
(29,34)
(29,43)
(30,31)
(30,32)
(30,33)
(31,33)
(31,35)
(31,36)
(31,37)
(34,42)
(34,45)
(35,36)
(35,40)
(36,37)
(38,47)
(40,41)
(41,42)
(43,44)
(44,45)
(45,46)
(45,47)
