0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
stop
(0,2)
(1,2)
(1,6)
(2,3)
(2,4)
(2,39)
(2,46)
(4,33)
(4,5)
(4,7)
(5,8)
(6,7)
(8,9)
(8,27)
(8,33)
(10,19)
(11,25)
(11,21)
(12,40)
(12,28)
(12,14)
(13,29)
(13,14)
(14,16)
(14,15)
(15,16)
(16,17)
(16,23)
(16,21)
(17,18)
(18,19)
(20,21)
(20,22)
(20,23)
(21,25)
(22,24)
(22,25)
(24,25)
(26,27)
(27,33)
(27,38)
(27,39)
(28,29)
(29,34)
(29,43)
(30,32)
(30,33)
(30,31)
(31,33)
(31,35)
(31,36)
(31,37)
(34,42)
(34,45)
(35,40)
(35,36)
(36,37)
(38,47)
(40,41)
(41,42)
(43,44)
(44,45)
(45,46)
(45,47)
