5
9
12
13
14
17
18
19
20
21
30
31
32
35
45
47
48
51
56
57
62
64
68
71
79
81
83
84
86
87
88
90
93
94
98
101
102
105
106
108
109
117
122
124
125
126
128
129
138
139
145
153
155
156
158
161
163
177
178
188
190
stop
(2,76)
(3,77)
(5,6)
(6,7)
(7,8)
(8,191)
(10,13)
(12,13)
(12,30)
(12,32)
(13,16)
(14,15)
(14,64)
(14,129)
(16,17)
(18,30)
(28,51)
(30,35)
(32,37)
(34,37)
(38,196)
(44,45)
(44,47)
(48,155)
(48,181)
(49,177)
(51,188)
(62,63)
(62,86)
(63,68)
(64,65)
(64,68)
(65,66)
(71,72)
(71,79)
(72,73)
(75,183)
(77,133)
(80,86)
(82,83)
(86,87)
(87,88)
(92,96)
(94,171)
(95,171)
(101,102)
(102,109)
(103,106)
(105,106)
(110,128)
(111,112)
(117,120)
(121,122)
(123,125)
(129,130)
(154,183)
(155,156)
(155,165)
(156,157)
(157,158)
(158,165)
(158,196)
(161,162)
(163,187)
(190,191)
